
d:[0,0,0,58,2147483647,2147483647,-1,false,3] S:[,0,NEUTRAL] ->:[,0,70]
d:[1,1,10,82,2147483647,2147483647,-1,false,3] S:[,1,NEUTRAL] ->:[,1,90]
d:[2,2,70,106,2147483647,2147483647,-1,false,3] S:[,2,NEUTRAL] ->:[,2,60]
d:[3,3,100,118,2147483647,2147483647,-1,false,3] S:[,3,LEFT] ->:[,3,110]
d:[4,4,130,130,2147483647,2147483647,-1,false,3] S:[,4,RIGHT] ->:[,4,90]
d:[5,5,210,149,2147483647,2147483647,-1,false,3] S:[,5,UP] ->:[,5,60]
d:[6,6,220,150,2147483647,2147483647,-1,false,3] S:[,6,DOWN] ->:[,6,50]
d:[7,7,270,173,2147483647,2147483647,-1,false,3] S:[,7,DOWN] ->:[,7,50]
d:[8,8,270,174,2147483647,2147483647,-1,false,3] S:[,8,LEFT] ->:[,8,60]
d:[9,9,320,197,2147483647,2147483647,-1,false,3] S:[,9,UP] ->:[,9,60]
d:[10,10,330,198,2147483647,2147483647,-1,false,3] S:[,10,LEFT] ->:[,10,60]
d:[11,11,380,221,2147483647,2147483647,-1,false,3] S:[,11,UP] ->:[,11,10]
d:[12,12,390,222,2147483647,2147483647,-1,false,3] S:[,12,RIGHT] ->:[,12,0]
d:[13,13,390,245,2147483647,2147483647,-1,false,3] S:[,13,UP] ->:[,13,0]
d:[14,14,390,246,2147483647,2147483647,-1,false,3] S:[,14,UP] ->:[,14,0]
d:[15,15,390,269,2147483647,2147483647,-1,false,3] S:[,15,UP] ->:[,15,0]
d:[16,16,390,270,2147483647,2147483647,-1,false,3] S:[,16,RIGHT] ->:[,16,0]
d:[17,17,390,293,2147483647,2147483647,-1,false,3] S:[,17,UP] ->:[,17,0]
d:[18,18,390,294,2147483647,2147483647,-1,false,3] S:[,18,RIGHT] ->:[,18,0]
d:[19,19,390,317,2147483647,2147483647,-1,false,3] S:[,19,DOWN] ->:[,19,0]
d:[20,20,390,318,2147483647,2147483647,-1,false,3] S:[,20,RIGHT] ->:[,20,0]
d:[21,21,390,379,2147483647,2147483647,-1,false,3] S:[,21,RIGHT] ->:[,21,0]
d:[22,22,390,391,2147483647,2147483647,-1,false,3] S:[,22,RIGHT] ->:[,22,0]
d:[23,23,390,473,2147483647,2147483647,-1,false,2] S:[,23,UP] ->:[,23,0]
d:[24,24,390,497,2147483647,2147483647,-1,false,2] S:[,24,RIGHT] ->:[,24,0]
d:[25,25,390,521,2147483647,2147483647,-1,false,2] S:[,25,LEFT] ->:[,25,0]
d:[26,26,390,533,2147483647,2147483647,-1,false,2] S:[,26,UP] ->:[,26,0]
d:[27,27,390,545,2147483647,2147483647,-1,false,2] S:[,27,LEFT] ->:[,27,0]
d:[28,28,390,557,2147483647,2147483647,-1,false,2] S:[,28,DOWN] ->:[,28,10]
