
d:[0,0,30,10,32,2147483647,-1,false,3] S:[,0,UP] ->:[,0,120,0]
d:[1,1,60,22,44,2147483647,-1,false,3] S:[,1,RIGHT] ->:[,1,120,0]
d:[2,2,120,46,48,72,492,false,3] S:[,2,DOWN] ->:[,2,230,0]
d:[3,3,150,58,36,85,480,false,3] S:[,3,UP] ->:[,3,260,0]
d:[4,4,180,70,24,80,508,false,3] S:[,4,RIGHT] ->:[,4,250,0]
d:[5,5,350,122,88,108,516,true,3] S:[,5,UP] ->:[,5,80,0]
d:[9,9,440,303,80,68,353,false,3] S:[,9,UP] ->:[,9,80,0]
d:[9,9,440,315,68,48,193,false,3] S:[,9,DOWN] ->:[,9,110,0]
d:[9,9,450,327,56,32,205,false,3] S:[,9,LEFT] ->:[,9,130,0]
d:[9,9,520,355,52,28,173,false,3] S:[,9,RIGHT] ->:[,9,90,0]
d:[10,10,550,367,40,32,245,false,3] S:[,10,RIGHT] ->:[,10,420,0]
d:[11,11,580,379,28,32,78,false,3] S:[,11,RIGHT] ->:[,11,450,0]
d:[12,12,610,391,16,32,66,false,3] S:[,12,RIGHT] ->:[,12,420,0]
d:[13,13,970,443,85,71,354,true,3] S:[,13,UP] ->:[,13,60,0]
d:[17,17,1030,1399,92,42,254,false,3] S:[,17,RIGHT] ->:[,17,150,0]
d:[17,17,1030,1427,64,37,140,false,3] S:[,17,RIGHT] ->:[,17,180,0]
d:[17,17,1030,1439,76,59,307,false,3] S:[,17,UP] ->:[,17,200,0]
d:[17,17,1180,1499,40,3,174,false,3] S:[,17,RIGHT] ->:[,17,50,0]
d:[21,21,1230,3233,88,2147483647,-1,false,2] S:[,21,RIGHT] ->:[,21,210,0]
d:[21,21,1260,3245,76,2147483647,-1,false,2] S:[,21,RIGHT] ->:[,21,190,0]
d:[21,21,1350,3281,40,137,521,false,2] S:[,21,UP] ->:[,21,130,0]
d:[21,21,1440,3317,60,79,642,false,2] S:[,21,UP] ->:[,21,60,0]
d:[22,22,1450,3329,72,55,785,false,2] S:[,22,RIGHT] ->:[,22,50,0]
d:[26,26,1500,3423,72,84,516,false,1] S:[,26,UP] ->:[,26,80,0]
d:[26,26,1500,3435,84,80,508,false,1] S:[,26,UP] ->:[,26,80,0]
d:[26,26,1530,3447,96,60,540,false,1] S:[,26,UP] ->:[,26,50,0]
d:[26,26,100,43,48,63,495,false,3] S:[,26,DOWN] ->:[,26,130,0]
d:[27,27,160,67,44,15,471,false,3] S:[,27,DOWN] ->:[,27,100,0]
d:[28,28,190,79,32,15,459,false,3] S:[,28,RIGHT] ->:[,28,130,0]
d:[29,29,230,95,16,41,613,false,3] S:[,29,RIGHT] ->:[,29,160,0]
d:[30,30,260,107,28,49,471,false,3] S:[,30,RIGHT] ->:[,30,190,0]
d:[31,31,320,131,52,47,236,false,3] S:[,31,DOWN] ->:[,31,130,0]
d:[32,32,390,159,56,31,162,false,3] S:[,32,LEFT] ->:[,32,220,0]
d:[33,33,450,187,28,15,180,false,3] S:[,33,LEFT] ->:[,33,360,0]
d:[34,34,450,199,16,15,168,false,3] S:[,34,LEFT] ->:[,34,760,0]
d:[35,35,610,251,85,7,172,true,3] S:[,35,RIGHT] ->:[,35,630,0]
d:[36,36,810,263,76,15,192,true,3] S:[,36,RIGHT] ->:[,36,460,0]
d:[37,37,1210,275,64,119,943,true,3] S:[,37,UP] ->:[,37,200,0]
d:[38,38,1240,287,52,125,983,true,3] S:[,38,UP] ->:[,38,170,0]
d:[39,39,1270,299,40,141,955,true,3] S:[,39,UP] ->:[,39,140,0]
d:[42,42,1410,383,52,35,166,false,3] S:[,42,RIGHT] ->:[,42,60,0]
