
0,0,20,8,2147483647,-1,false,,0,NEUTRAL,,0,90
1,1,50,20,2147483647,-1,false,,1,NEUTRAL,,1,90
2,2,110,44,2147483647,-1,false,,2,NEUTRAL,,2,60
3,3,140,56,2147483647,-1,false,,3,UP,,3,200
4,4,170,68,2147483647,-1,false,,4,RIGHT,,4,230
5,5,340,120,28,90,true,,5,UP,,5,80
6,6,400,144,36,58,false,,6,DOWN,,6,20
7,7,420,156,24,34,false,,7,DOWN,,7,30
8,8,420,208,28,34,false,,8,DOWN,,8,120
9,9,450,220,2147483647,34,false,,9,RIGHT,,9,120
10,10,540,256,2147483647,34,false,,10,RIGHT,,10,200
11,11,570,268,28,34,false,,11,DOWN,,11,200
12,12,740,320,2147483647,9,true,,12,RIGHT,,12,60
13,13,770,332,2147483647,27,true,,13,RIGHT,,13,60
14,14,800,344,2147483647,28,true,,14,RIGHT,,14,240
15,15,830,356,2147483647,10,true,,15,UP,,15,240
16,16,1040,368,2147483647,-1,false,,16,RIGHT,,16,50
17,17,1070,380,2147483647,-1,false,,17,RIGHT,,17,20
18,18,1090,392,2147483647,-1,false,,18,RIGHT,,18,0
19,19,1090,404,24,34,true,,19,LEFT,,19,400
20,20,1090,456,2147483647,20,true,,20,UP,,20,410
21,21,1490,480,2147483647,-1,false,,21,DOWN,,21,70
22,22,1500,506,2147483647,-1,false,,22,DOWN,,22,90
23,23,1560,530,2147483647,-1,false,,23,DOWN,,23,50
24,24,1590,542,2147483647,-1,false,,24,UP,,24,20
25,25,1610,554,2147483647,-1,false,,25,LEFT,,25,0
26,26,1610,606,28,50,false,,26,DOWN,,26,0
27,27,1610,618,40,50,false,,27,DOWN,,27,0
28,28,1610,654,40,50,false,,28,DOWN,,28,0
29,29,1610,666,28,50,false,,29,RIGHT,,29,0
30,30,1610,728,2147483647,-1,false,,30,DOWN,,30,0
31,31,1610,752,2147483647,-1,false,,31,UP,,31,10
32,32,1610,764,2147483647,-1,false,,32,DOWN,,32,60
33,33,1620,788,2147483647,-1,false,,33,LEFT,,33,50
34,34,1670,812,2147483647,-1,false,,34,DOWN,,34,0
35,35,1670,824,24,41,false,,35,LEFT,,35,0
36,36,1670,876,2147483647,17,false,,36,DOWN,,36,0
