
d:[0,0,40,100,3,1082,1082,107,2147483647,2147483647,2147483647,false,false,false,false,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL] S:[,0,NEUTRAL] ->:[,0,-3,0,true,false,101]
d:[1,1,93,270,3,1253,1253,126,135,143,2147483647,true,false,false,false,RIGHT,LEFT,LEFT,NEUTRAL] S:[,1,NEUTRAL] ->:[,1,-2,0,true,false,81]
d:[2,2,141,390,3,1205,1205,71,91,115,155,false,false,true,false,DOWN,LEFT,RIGHT,RIGHT] S:[,2,NEUTRAL] ->:[,2,-2,0,true,false,69]
d:[3,3,183,540,3,932,932,61,101,101,129,true,true,true,true,DOWN,UP,LEFT,UP] S:[,3,NEUTRAL] ->:[,3,-1,0,true,false,125]
d:[4,4,207,600,3,818,818,41,81,81,109,true,true,true,true,DOWN,UP,LEFT,UP] S:[,4,NEUTRAL] ->:[,4,0,0,true,false,137]
d:[5,5,239,640,3,795,795,57,69,108,129,true,true,true,true,DOWN,UP,UP,LEFT] S:[,5,NEUTRAL] ->:[,5,0,0,true,false,150]
d:[6,6,263,640,3,780,780,69,80,102,125,true,true,true,true,DOWN,LEFT,UP,UP] S:[,6,NEUTRAL] ->:[,6,0,0,true,false,150]
d:[7,7,287,660,3,863,863,81,116,133,137,true,true,true,true,DOWN,LEFT,UP,RIGHT] S:[,7,NEUTRAL] ->:[,7,0,0,true,false,157]
d:[8,8,311,700,3,899,899,85,104,114,150,true,true,true,true,RIGHT,LEFT,DOWN,LEFT] S:[,8,DOWN] ->:[,8,0,0,false,false,134]
d:[9,9,335,700,3,1076,1076,81,150,153,162,true,true,true,true,RIGHT,DOWN,LEFT,UP] S:[,9,LEFT] ->:[,9,0,0,false,false,168]
d:[10,10,359,700,3,1283,1283,77,157,165,174,true,true,true,true,RIGHT,DOWN,LEFT,RIGHT] S:[,10,RIGHT] ->:[,10,-1,0,false,false,130]
d:[11,11,372,700,3,1270,1270,52,134,150,159,false,false,false,false,RIGHT,RIGHT,LEFT,DOWN] S:[,11,DOWN] ->:[,11,-2,0,false,false,143]
d:[12,12,384,700,3,1188,1188,54,150,168,188,false,false,false,false,RIGHT,LEFT,DOWN,RIGHT] S:[,12,RIGHT] ->:[,12,-2,1,false,true,0]
d:[13,13,436,830,3,1001,1001,60,108,129,130,false,false,false,false,DOWN,RIGHT,DOWN,UP] S:[,13,LEFT] ->:[,13,-2,1,false,false,72]
d:[14,14,464,900,3,1177,1177,4,129,143,158,false,false,false,false,LEFT,RIGHT,LEFT,UP] S:[,14,UP] ->:[,14,-2,1,false,false,48]
d:[15,15,504,1000,2,151,151,97,2147483647,2147483647,2147483647,false,false,false,false,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL] S:[,15,UP] ->:[,15,-1,0,true,false,112]
d:[16,16,578,1220,2,189,189,40,56,64,72,true,false,false,false,LEFT,RIGHT,UP,LEFT] S:[,16,RIGHT] ->:[,16,0,0,true,false,124]
