
d:[0,0,20,6,2147483647,2147483647,-1,false,3] S:[,0,NEUTRAL] ->:[,0,200,3]
d:[1,1,190,58,2147483647,2147483647,-1,false,3] S:[,1,NEUTRAL] ->:[,1,120,3]
d:[2,2,220,70,2147483647,2147483647,-1,false,3] S:[,2,NEUTRAL] ->:[,2,120,3]
d:[3,3,310,106,2147483647,2147483647,-1,false,3] S:[,3,NEUTRAL] ->:[,3,400,3]
d:[4,4,340,118,2147483647,2147483647,-1,false,3] S:[,4,NEUTRAL] ->:[,4,400,3]
d:[5,5,710,170,2147483647,2147483647,-1,false,3] S:[,5,NEUTRAL] ->:[,5,170,3]
d:[6,6,740,182,2147483647,2147483647,-1,false,3] S:[,6,NEUTRAL] ->:[,6,140,3]
