
d:[0,0,20,8,2147483647,2147483647,-1,false,3] S:[,0,NEUTRAL] ->:[,0,60]
d:[1,1,50,20,2147483647,2147483647,-1,false,3] S:[,1,NEUTRAL] ->:[,1,200]
d:[2,2,80,32,2147483647,2147483647,-1,false,3] S:[,2,NEUTRAL] ->:[,2,220]
d:[3,3,250,84,2147483647,2147483647,-1,false,3] S:[,3,UP] ->:[,3,50]
d:[4,4,300,108,2147483647,2147483647,-1,false,3] S:[,4,LEFT] ->:[,4,0]
d:[5,5,300,120,2147483647,2147483647,-1,false,3] S:[,5,RIGHT] ->:[,5,30]
d:[6,6,300,172,2147483647,2147483647,-1,false,3] S:[,6,RIGHT] ->:[,6,120]
d:[7,7,330,184,2147483647,2147483647,-1,false,3] S:[,7,LEFT] ->:[,7,120]
d:[8,8,420,220,2147483647,2147483647,-1,false,3] S:[,8,NEUTRAL] ->:[,8,200]
d:[9,9,450,232,2147483647,2147483647,-1,false,3] S:[,9,NEUTRAL] ->:[,9,200]
d:[10,10,620,284,2147483647,2147483647,-1,false,3] S:[,10,RIGHT] ->:[,10,60]
d:[11,11,650,296,2147483647,2147483647,-1,false,3] S:[,11,RIGHT] ->:[,11,60]
d:[12,12,680,308,2147483647,2147483647,-1,false,3] S:[,12,DOWN] ->:[,12,40]
d:[13,13,710,320,2147483647,2147483647,-1,false,3] S:[,13,RIGHT] ->:[,13,20]
d:[14,14,720,332,2147483647,2147483647,-1,false,3] S:[,14,LEFT] ->:[,14,10]
d:[15,15,730,344,2147483647,2147483647,-1,false,3] S:[,15,NEUTRAL] ->:[,15,0]
d:[16,16,730,356,2147483647,2147483647,-1,false,3] S:[,16,NEUTRAL] ->:[,16,0]
d:[17,17,730,368,2147483647,2147483647,-1,false,3] S:[,17,DOWN] ->:[,17,0]
d:[18,18,730,420,2147483647,2147483647,-1,false,3] S:[,18,LEFT] ->:[,18,0]
d:[19,19,730,432,2147483647,2147483647,-1,false,3] S:[,19,LEFT] ->:[,19,80]
d:[20,20,730,468,2147483647,2147483647,-1,false,3] S:[,20,UP] ->:[,20,80]
d:[21,21,810,504,2147483647,2147483647,-1,false,3] S:[,21,DOWN] ->:[,21,0]
d:[22,22,810,516,2147483647,2147483647,-1,false,3] S:[,22,LEFT] ->:[,22,50]
d:[23,23,810,528,2147483647,2147483647,-1,false,3] S:[,23,DOWN] ->:[,23,50]
d:[24,24,860,552,2147483647,2147483647,-1,false,3] S:[,24,RIGHT] ->:[,24,0]
d:[25,25,860,611,2147483647,2147483647,-1,false,2] S:[,25,RIGHT] ->:[,25,30]
d:[26,26,860,663,2147483647,2147483647,-1,false,2] S:[,26,UP] ->:[,26,60]
d:[27,27,890,675,2147483647,2147483647,-1,false,2] S:[,27,DOWN] ->:[,27,40]
d:[28,28,920,687,2147483647,2147483647,-1,false,2] S:[,28,LEFT] ->:[,28,40]
d:[29,29,930,714,2147483647,2147483647,-1,false,1] S:[,29,DOWN] ->:[,29,50]
d:[30,30,960,726,2147483647,2147483647,-1,false,1] S:[,30,LEFT] ->:[,30,20]
d:[31,31,980,738,2147483647,2147483647,-1,false,1] S:[,31,LEFT] ->:[,31,0]
d:[32,32,980,790,2147483647,2147483647,-1,false,1] S:[,32,DOWN] ->:[,32,0]
d:[33,33,980,802,2147483647,2147483647,-1,false,1] S:[,33,RIGHT] ->:[,33,0]
d:[34,34,980,838,2147483647,2147483647,-1,false,1] S:[,34,UP] ->:[,34,0]
